81,-0.11,0.01,-0.01,4.56,0.68,8.9
,,,,,,
82,-0.14,0.03,-0.03,3.32,0.42,9.77
,,,,,,
83,-0.13,-0.05,-0.03,4.32,-0.15,8.57
,,,,,,
84,-0.14,0.05,-0.03,4.46,0.2,8.53
,,,,,,
85,-0.13,0.01,-0.02,4.11,-0.29,8.65
,,,,,,
86,-0.13,0.03,0.01,4.16,-0.39,8.42
,,,,,,
87,-0.12,0.06,0.01,4.2,-0.07,8.64
,,,,,,
88,-0.09,0.06,-0.01,3.95,0.28,8.62
,,,,,,
89,-0.09,0,-0.01,4.34,-0.08,9.33
,,,,,,
90,-0.09,0.01,-0.01,4.18,0.54,8.91
,,,,,,
91,-0.11,0,-0.03,3.73,0.5,9.43
,,,,,,
92,-0.14,-0.04,-0.03,4.89,0.99,8.2
,,,,,,
93,-0.18,0.04,-0.03,4.31,-0.3,8.64
,,,,,,
94,-0.14,0.04,-0.02,4.6,0.21,8.61
,,,,,,
95,-0.12,0.01,-0.01,4.16,0.39,8.71
,,,,,,
96,-0.14,0.08,-0.01,4.9,0.33,8.14
,,,,,,
97,-0.12,0.07,-0.02,4.45,0.14,8.4
,,,,,,
98,-0.09,0,-0.02,4.08,0.04,8.71
,,,,,,
99,-0.09,0,-0.02,4.54,0.34,9.11
,,,,,,
100,-0.1,-0.04,-0.02,4.09,0.77,8.3
,,,,,,
101,-0.1,-0.02,-0.02,4.34,0.33,9.14
,,,,,,
102,-0.15,0.06,-0.01,4.69,0.38,8.41
,,,,,,
103,-0.14,0.07,0.01,3.89,0.01,9.32
,,,,,,
104,-0.13,0.01,0,4.37,0.02,8.73
,,,,,,
105,-0.12,0.08,-0.02,4.05,0.07,9.17
,,,,,,
106,-0.14,0.06,-0.02,4.29,0.47,9.07
,,,,,,
107,-0.11,0,0,4.24,0.64,8.43
,,,,,,
108,-0.08,0.03,-0.01,4.32,-0.02,8.99
,,,,,,
109,-0.1,-0.01,-0.01,4.54,0.98,7.94
,,,,,,
110,-0.11,0.03,-0.01,4.7,0.48,8.84
,,,,,,
111,-0.14,0.04,-0.01,4.22,0.45,9.01
